idx	Ser	Date	Block	Parc	Cat	Area	Nat	NewSer	RefV	RefS	TaxLP	TaxMl	TotLP	TotMl	ExEnt	ExLP	ExMl	NetLP	NetMl	Rem
0	١	٩٣٨	٤١٢٩	٥١	١٢	٢٬٧٧٩	تح		✓	٠٢٤	-	٠١٩						٠	٠٢٢	
1	٢	"			١٦	٢٬٥٦٩	✓		✓		-									
2	٣	"	٤١٤٦	١٩	١٢	١٤٢	"		✓	٠٠٨	-	٠٠٧						٠	٠٤٤	
3	٤	"	"	٩٢	١٢	١٢١	"		✓	٠٠٨	-	٠٠٣						٠	٠٩٤	
4	٥	"	"	٩٣	١٢	٢٥١	"		✓	٠٠٨	-	٠٠٢						٠	٠٢٢	
5	٦	"	"	٩٤	١٢	١٢١	"	٩٢٩	✓	٠٠٨	-	٠٠١	٠	٢٢				٠	٢٢	
6		٩٣٩									-	٠٢٢	٠	٢٢				-	٠٢٢	
7		٩٤٠									-	٠٢٢	٠	٢٢				-	٠٢٢	
8		٩٤١									-	٠٢٢	٠	٢٢				-	٠٢٢	
9		٩٤٢									-	٠٢٢	٠	٢٢				-	٠٢٢	
10		٩٤٣									-	٠٢٢	٠	٢٢				-	٠٢٢	
11	٧	٩٤٤	٤١٤٦	١٩	١٢	١٤٢	ضريبة حرب				-	٠٤٨								
12	٨	"	"	٩٢	١٢	١٢١	ضريبة حرب				-	٠٣٦	٠	١١٢						
13	٩	"	"	٩٣	١٢	٢٥١	ضريبة حرب				-	٠٢٦								
14	١٠	"	"	٩٤	١٢	١٢١	ضريبة حرب				-	٠٣٦	٠	١٩٢						
15	١١	٩٤٨	٤١٤٦	١٩	١٢	١٤٢	بيع		٤٢١	٤٥/٢٠١٥	-	٠٤٨						-	٠٤٨	
