page	n_cols	n_rows	top	bottom	edge_ink	ink_below	flags
1	19	14	296	1690	0.2	4	ROWS=14
3	19	34	596	3814	0.0	2718	
4	19	34	592	3811	0.0	3160	
5	19	34	602	3817	0.0	2055	
6	19	35	599	3917	0.083	1136	
9	19	34	577	3761	0.0	1673	
10	19	34	639	3865	0.0	702	
11	19	34	635	3851	0.0	993	
12	19	35	586	3904	0.0	253	
13	19	34	599	3822	0.0	612	
14	19	35	601	3923	0.0	15	
15	19	34	616	3832	0.029	455	
16	19	35	601	3916	0.0	178	
17	19	34	590	3834	0.0	504	
18	19	34	615	3816	0.0	476	
19	19	35	591	3793	0.028	2402	
20	19	35	618	3908	0.0	196	
21	19	35	622	3918	0.0	0	
22	19	34	606	3808	0.029	69	
23	19	36	594	3903	0.054	0	
24	19	35	608	3857	0.0	36	
25	19	34	612	3816	0.0	488	
26	19	35	605	3874	0.028	295	
27	19	35	598	3898	0.028	188	
28	19	34	612	3806	0.0	208	
29	19	34	615	3821	0.0	44	
30	19	34	594	3781	0.029	1900	
31	19	35	577	3825	0.111	1958	
32	19	35	579	3866	0.028	293	
33	19	35	612	3858	0.0	185	
34	19	35	610	3876	0.0	0	
35	19	35	587	3875	0.0	46	
36	19	35	594	3868	0.0	64	
37	19	34	610	3784	0.0	129	
38	19	34	610	3769	0.0	455	
39	19	34	610	3772	0.0	219	
40	19	34	610	3750	0.029	22	
41	19	34	610	3776	0.0	65	
42	19	34	610	3767	0.0	78	
43	19	35	610	3846	0.0	0	
44	19	35	610	3852	0.0	6	
45	19	36	610	3880	0.0	0	
46	19	35	573	3833	0.0	19	
47	19	35	610	3871	0.0	0	
48	19	35	610	3880	0.0	0	
49	19	35	610	3879	0.0	0	
50	19	35	598	3880	0.028	0	
51	19	34	601	3799	0.0	0	
52	19	35	610	3879	0.0	0	
53	19	34	623	3803	0.0	43	
54	19	34	610	3774	0.0	0	
55	19	34	608	3746	0.0	0	
56	19	33	608	3750	0.0	47	
57	19	34	572	3730	0.0	0	
58	19	34	576	3758	0.0	2152	
59	19	33	608	3735	0.029	77	
60	19	35	566	3859	0.0	0	
61	19	35	607	3846	0.0	0	
62	19	35	607	3839	0.0	80	
63	19	34	609	3760	0.0	0	
64	19	34	608	3760	0.0	0	
65	19	34	609	3765	0.0	9	
66	19	34	639	3797	0.0	14	
67	19	34	642	3793	0.029	5810	INK_BELOW=5810
68	19	34	621	3769	0.0	174	
69	19	34	609	3774	0.0	25	
70	19	33	612	3743	0.0	49	
71	19	35	612	3849	0.0	0	
72	19	35	591	3860	0.0	0	
73	19	34	592	3750	0.0	56	
74	19	34	580	3746	0.0	101	
75	19	34	589	3771	0.0	72	
76	19	34	592	3764	0.0	55	
77	19	35	590	3881	0.0	0	
78	19	34	609	3748	0.0	40	
79	19	34	609	3761	0.0	94	
80	19	34	609	3757	0.0	78	
81	19	34	609	3780	0.0	12	
82	19	34	609	3773	0.0	21	
83	19	34	609	3773	0.0	12	
84	19	34	609	3777	0.0	21	
85	19	34	609	3760	0.0	63	
86	19	34	609	3774	0.0	30	
87	19	34	592	3758	0.029	4601	INK_BELOW=4601
88	19	34	581	3785	0.029	0	
89	19	34	609	3768	0.0	0	
90	19	34	611	3801	0.0	0	
91	19	34	609	3774	0.0	0	
92	19	34	598	3756	0.0	15	
93	19	35	591	3863	0.0	0	
94	19	34	609	3809	0.029	0	
95	19	34	609	3804	0.029	222	
96	19	34	609	3778	0.0	0	
97	19	34	609	3764	0.0	128	
98	19	34	609	3767	0.0	42	
99	19	34	596	3784	0.029	1276	
100	19	34	609	3784	0.0	9	
101	19	35	593	3857	0.056	90	
