page	score	n_cols	worst_cols
1	0.319	9	0:Serial_No=0.00; 3:Property_recorded_under_Parcel_No=0.12; 4:Parcel_Cat_No=0.12
75	0.717	15	13:Total_Tax_Mils=0.00; 14:Reference_to_Register_of_Exemptions_Entry_No=0.00; 2:Property_recorded_under_Block_No=0.07
81	0.781	19	16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 17:Net_Assessment_LP=0.00; 0:Serial_No=0.18
86	0.823	19	0:Serial_No=0.00; 16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 18:Net_Assessment_Mils=0.13
89	0.851	19	16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 18:Net_Assessment_Mils=0.00; 1:Date=0.45
77	0.858	19	0:Serial_No=0.00; 11:Tax_Mils=0.07; 10:Tax_LP=0.31
85	0.863	19	16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 18:Net_Assessment_Mils=0.31; 0:Serial_No=0.53
88	0.866	19	1:Date=0.00; 3:Property_recorded_under_Parcel_No=0.11; 2:Property_recorded_under_Block_No=0.59
62	0.877	19	8:Reference_to_Register_of_Changes_Volume_No=0.16; 1:Date=0.24; 2:Property_recorded_under_Block_No=0.47
20	0.895	19	17:Net_Assessment_LP=0.00; 0:Serial_No=0.26; 1:Date=0.54
101	0.9	19	0:Serial_No=0.17; 19:edge=0.17; 1:Date=0.51
87	0.901	19	0:Serial_No=0.03; 2:Property_recorded_under_Block_No=0.04; 1:Date=0.57
72	0.905	19	18:Net_Assessment_Mils=0.00; 0:Serial_No=0.11; 16:Reference_to_Register_of_Exemptions_Amount_Mils=0.70
74	0.911	19	18:Net_Assessment_Mils=0.00; 0:Serial_No=0.03; 1:Date=0.85
84	0.914	19	0:Serial_No=0.03; 18:Net_Assessment_Mils=0.39; 19:edge=0.72
90	0.917	19	18:Net_Assessment_Mils=0.13; 0:Serial_No=0.37; 1:Date=0.60
78	0.921	19	18:Net_Assessment_Mils=0.00; 0:Serial_No=0.20; 19:edge=0.80
99	0.921	19	16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 0:Serial_No=0.14; 19:edge=0.86
82	0.923	19	16:Reference_to_Register_of_Exemptions_Amount_Mils=0.00; 19:edge=0.50; 0:Serial_No=0.57
91	0.924	19	0:Serial_No=0.16; 1:Date=0.48; 18:Net_Assessment_Mils=0.48
73	0.928	19	2:Property_recorded_under_Block_No=0.15; 0:Serial_No=0.41; 1:Date=0.85
94	0.936	19	18:Net_Assessment_Mils=0.27; 19:edge=0.53; 1:Date=0.81
39	0.938	19	18:Net_Assessment_Mils=0.16; 0:Serial_No=0.48; 19:edge=0.84
69	0.944	19	18:Net_Assessment_Mils=0.00; 19:edge=0.87; 0:Serial_No=1.00
5	0.948	19	0:Serial_No=0.00; 19:edge=0.09; 3:Property_recorded_under_Parcel_No=0.99
93	0.949	19	19:edge=0.24; 1:Date=0.49; 0:Serial_No=0.85
18	0.953	19	0:Serial_No=0.34; 19:edge=0.34; 5:Parcel_Area=0.94
23	0.953	19	0:Serial_No=0.27; 19:edge=0.39; 5:Parcel_Area=0.86
33	0.96	19	0:Serial_No=0.00; 19:edge=0.67; 1:Date=0.95
19	0.964	19	0:Serial_No=0.71; 2:Property_recorded_under_Block_No=0.74; 19:edge=0.74
65	0.965	19	0:Serial_No=0.00; 19:edge=0.69; 1:Date=1.00
95	0.965	19	0:Serial_No=0.11; 1:Date=0.78; 2:Property_recorded_under_Block_No=1.00
100	0.965	19	0:Serial_No=0.00; 1:Date=0.84; 2:Property_recorded_under_Block_No=1.00
13	0.966	19	19:edge=0.37; 0:Serial_No=0.57; 3:Property_recorded_under_Parcel_No=0.89
22	0.966	19	0:Serial_No=0.14; 19:edge=0.83; 2:Property_recorded_under_Block_No=0.93
31	0.966	19	0:Serial_No=0.23; 19:edge=0.69; 16:Reference_to_Register_of_Exemptions_Amount_Mils=0.91
44	0.967	19	0:Serial_No=0.06; 19:edge=0.71; 1:Date=1.00
6	0.968	19	0:Serial_No=0.00; 19:edge=0.86; 2:Property_recorded_under_Block_No=0.99
24	0.968	19	0:Serial_No=0.09; 19:edge=0.70; 1:Date=1.00
76	0.968	19	0:Serial_No=0.17; 19:edge=0.83; 1:Date=0.90
15	0.969	19	0:Serial_No=0.32; 19:edge=0.52; 1:Date=1.00
43	0.969	19	0:Serial_No=0.09; 19:edge=0.72; 1:Date=1.00
70	0.969	19	19:edge=0.69; 18:Net_Assessment_Mils=0.70; 0:Serial_No=0.74
83	0.969	19	0:Serial_No=0.16; 19:edge=0.68; 1:Date=1.00
4	0.97	19	0:Serial_No=0.43; 19:edge=0.60; 11:Tax_Mils=0.96
64	0.97	19	0:Serial_No=0.00; 19:edge=0.86; 1:Date=1.00
68	0.97	19	0:Serial_No=0.09; 19:edge=0.76; 1:Date=1.00
80	0.97	19	0:Serial_No=0.00; 19:edge=0.87; 1:Date=1.00
92	0.97	19	1:Date=0.59; 19:edge=0.82; 0:Serial_No=0.85
66	0.971	19	0:Serial_No=0.09; 19:edge=0.82; 1:Date=1.00
10	0.972	19	19:edge=0.22; 0:Serial_No=0.70; 1:Date=1.00
49	0.973	19	0:Serial_No=0.23; 18:Net_Assessment_Mils=0.87; 1:Date=1.00
55	0.973	19	0:Serial_No=0.15; 19:edge=0.85; 1:Date=0.99
