Page_Number,Approach,Row_Index,Serial_No,Date,Block_No,Parcel_No,Cat_No,Area,Nature_of_Entry,New_Serial_No,Volume_No,Serial_No_Vol,Tax_LP,Tax_Mils,Total_Tax_LP,Total_Tax_Mils,Entry_No,Remarks,Assessment_Year,Amount_Assessed_LP,Amount_Assessed_Mils,Date_of_Payment,Receipt_No,Amount_Paid_LP,Amount_Paid_Mils,Balance_LP,Balance_Mils,Right_Side_Notes,Row_Confidence,Red_Ink,Disagreements
10,M,1,١,٩٣٨,٤١٢٩,٥١,١٢,"٥,٧٧٩",قخ,,,٠٢٤١,,٠١٩,,٠٢٢,,,,,٠٢٢,٤١/٣/٢,٧٢٩٤٦٧,٢٠,٠٦٢,,-,"Arrears Fwd LP: ٠٢٠. Total Due LP: ٠٢٠, Mils: ٠٦٢.",high,FALSE,
10,M,2,٢,"""","""",٦٢,١٦,"٢,٥٦٩","""",,✓,,,-,,-,,,,,,,,,,,٠٩٤,,high,FALSE,
10,M,3,٣,"""",٤١٤٦,١٩,١٢,٨٤٢,"""",,✓,٠٠٨١,,٠٠٧,,,,,,,,,,,,,,,high,FALSE,
10,M,4,٤,"""","""",٩٢,١٢,١٢١,"""",,✓,٠٠٨١,,٠٠٢,,,,,,,,,,,,,,,high,FALSE,
10,M,5,٥,"""","""",٩٤,١٢,٢٥١,"""",,✓,٠٠٨١,,٠٠٢,,,,,,,,,,,,,,,high,FALSE,
10,M,6,٦,"""","""",٩٤,١٢,١٢١,"""",٩٢٩,✓,٠٠٨١,,٠٠١,,٠٢٥,,,,,٠٢٥,٤١/٦/٢٩,٧٤٩٤٦٧,,٠٢٢,,٠٠٧,Total Due Mils: ٠٩٩.,high,FALSE,
10,M,7,,,,,,,,,,,,٠٢٢,,٠٢٢,,,,,٠٢٢,٤١/٣/٢٠,٧٢٥٨١٥,,١٢٦,,-,Total Due Mils: ١٢٦.,high,FALSE,
10,M,8,,,,,,,,,,,,,,٠٢٢,,,,,٠٢٢,٤٣/١/١٢,١٧٠٢٣,,٠٢٢,,-,Total Due Mils: ~~١٦٨~~ ٠٢٢.,high,FALSE,
10,M,9,١٠٢٩,,,,,,,,,,,٠٣٤,,٠٣٤,,,,,٠٣٤,٤٣/٣/١,١٨٧٨١٠,,٠٣٤,,-,Total Due Mils: ٠٣٤.,high,FALSE,
10,M,10,,,,,,,,,,,,٠٨٢,,٠٨٢,,,,,٠٨٢,٤٣/١/٣٠,٣٠١٨٧,,٠٨٢,,-,Total Due Mils: ٠٨٢.,high,FALSE,
10,M,11,,,,,,,,,,,,٠٩٥,,,,,,,٠٩٥,٤٣/١/٢٠,٢٨١١٧,,٠٩٥,,-,Total Due Mils: ٠٩٥.,high,FALSE,
10,M,12,١١١٨/٤٠,,٤١٤٩,٤٩/٢٠١٥,,,قخ,,,٠٨١,,٠٤٨,,,,,,,٠٤٨,٤٤/١/١٢,١٧٠٢٣,,٣٩٢,,-,Arrears Fwd Mils: ٣٤٤. Total Due Mils: ٣٩٢.,medium,FALSE,
10,M,13,١٢١٠/٤١,,,,,,,,,,,٠٣١,,٠٣١,,,,,٠٣١,٤٤/١/٢٠,٢٧٨٢٧,,٢٢٣,,,Arrears Fwd Mils: ١٩٢. Total Due Mils: ٢٢٣.,medium,FALSE,
10,M,14,١٢١١,,,,,,,,,,,١٩٢,,١٩٢,,,,,١٩٢,٤٤/٥/٩,٨٥٨٨١١,,١٩٢,,-,Total Due Mils: ١٩٢.,high,FALSE,
10,M,15,,,,,,,,,,,,١٩٢,,١٩٢,,,,,١٩٢,٤٤/٥/٢٧,٢٢٥٨٦٠,,١٩٢,,-,Total Due Mils: ١٩٢.,high,FALSE,
