Page_Number,Approach,Row_Index,Serial_No,Date,Property_recorded_under_Block_No,Property_recorded_under_Parcel_No,Parcel_Cat_No,Parcel_Area,Nature_of_Entry,New_Serial_No,Reference_to_Register_of_Changes_Volume_No,Reference_to_Register_of_Changes_Serial_No,Tax_LP,Tax_Mils,Total_Tax_LP,Total_Tax_Mils,Reference_to_Register_of_Exemptions_Entry_No,Reference_to_Register_of_Exemptions_Amount_LP,Reference_to_Register_of_Exemptions_Amount_Mils,Net_Assessment_LP,Net_Assessment_Mils,Remarks,Row_Confidence,Red_Ink,Disagreements
50,M,1,١,٩٤١,٤١٤٢,٢,١٠,"١,١٩٥",ش,١٧,✓,١٦٧,,٠٢٤,,,,,,,,,high,FALSE,
50,M,2,٢,"""","""",١٠,١٠,"٤,٤٢٧","""",١٦,✓,٩٠,,٠٠٨,,,,,,,,,high,FALSE,
50,M,3,٣,"""","""",١٦,١٠,"٤,٧٢٠","""",,✓,٥٢,,٠٤٨,,,,,,,,,high,FALSE,
50,M,4,٤,"""",٤١٤١,١٣,١٤,"٤,٢٠٦",,١٨,✓,,,-,,,,,,,,,high,FALSE,
50,M,5,٥,,,,١٦,"٣,٤٩٠",,,✓,,,-,,,,,,,,,high,FALSE,
50,M,6,٦,"""",٤١٤٨,٢,١٢,"١,٦٩٠",ش,١٩,✓,١٦١,,٠٩٤,,,,,,,,,high,FALSE,
50,M,7,٧,,,,,"٦,٥٢٠",,,✓,١٠٥,,٠٨٨,,,,,,,,,high,FALSE,
50,M,8,٨,"""","""",١٠,٤,"٢,٠٠٠","""",,✓,١٤٠,,٠٠٢,,,,,,,,,high,FALSE,
50,M,9,٩,"""",٤١٥١,٤٤,١٢,٨٧٠,"""",,✓,١١٧,,٠١٤,,,,,,,,,high,FALSE,
50,M,10,١٠,"""","""",١٠,١٦,"٢,٤٠٠","""",,✓,٨٧,,٠٠٧,,,,,,,,,high,FALSE,
50,M,11,١١,"""","""",١٦,١٢,"١,١٢٠","""",,✓,١٦٠,,٠٠٩,,,,,,,,,high,FALSE,
50,M,12,١٢,"""",٤١٥٢,١٤٤,٣,"١,٢٠٠","""",,✓,٢٠٠,,٠٥٠,,,,,,,,,high,FALSE,
50,M,13,١٣,"""","""",١٥٠,٤,"٢,٠٠٠","""",,✓,٢٢٠,,٠٢٥,,,,,,,,,high,FALSE,
50,M,14,١٤,٩٤١,٤١٥٠,٢٤,١٢,"١,٦٩٠",بيع,٣٠,١,٢١,,١٤,,٤٣٧,,,,,٤٣٧,,high,FALSE,
50,M,15,١٥,"""",٤١٤٩,١٢,١٤,"٢,٢٣٤",شراء,,,,,٠٥١,,,,,,,,,high,FALSE,
50,M,16,,,,,١٦,"١٢,٢٠٦",,,,,,٠٥٣,,,,,,,,,high,FALSE,
50,M,17,١٦,"""",٤١٤٢,١,١٠,"٤,٤٢٧",شراء,,,,,٠٧٨,,,,,,,,,high,FALSE,
50,M,18,١٧,"""","""",٢,١٠,"١,١٩٥","""",,,,,٠٢٤,,,,,,,,,high,FALSE,
50,M,19,١٨,"""",٤١٤١,١٣,١٤,"٤,٢٠٦","""",,,,,٠٨١,,,,,,,,,high,FALSE,
50,M,20,,,,,١٦,"٣,٤٩٠",,,,,,٠١٣,,,,,,,,,high,FALSE,
50,M,21,١٩,"""",٤١٤٨,٢,١٢,"١,٦٩٠",شراء,,,,,٠٩٤,,,,,,,,,high,FALSE,
