row	col	state	som	som2
0	Serial_No	BOTH_EMPTY		
0	Date	BOTH_EMPTY		
0	Property_recorded_under_Block_No	BOTH_EMPTY		
0	Property_recorded_under_Parcel_No	BOTH_EMPTY		
0	Parcel_Cat_No	BOTH_EMPTY		
0	Parcel_Area	BOTH_EMPTY		
0	Nature_of_Entry	BOTH_EMPTY		
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	MISMATCH	٢٢٢٢	٢٢٢٧
0	Reference_to_Register_of_Changes_Serial_No	ONLY_som	✓	
0	Tax_LP	BOTH_EMPTY		
0	Tax_Mils	MISMATCH	٥٤٣٨	٥٤٢٨
0	Total_Tax_LP	MATCH	٥	٥
0	Total_Tax_Mils	MATCH	٢٨٥	٢٨٥
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	BOTH_EMPTY		
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٣٤	٣٤
1	Date	MATCH	٩٢٨	٩٢٨
1	Property_recorded_under_Block_No	MATCH	٤١٤١	٤١٤١
1	Property_recorded_under_Parcel_No	MATCH	٢٢	٢٢
1	Parcel_Cat_No	MISMATCH	١٢	١٣
1	Parcel_Area	MATCH	٨,٨٧٤	٨,٨٧٤
1	Nature_of_Entry	MISMATCH	في	أ
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
1	Reference_to_Register_of_Changes_Serial_No	MATCH	٧٢	٧٢
1	Tax_LP	ONLY_som	✓	
1	Tax_Mils	MATCH	٠٧١	٠٧١
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٣٥	٣٥
2	Date	MATCH	""""	""""
2	Property_recorded_under_Block_No	BOTH_EMPTY		
2	Property_recorded_under_Parcel_No	BOTH_EMPTY		
2	Parcel_Cat_No	MATCH	١٦	١٦
2	Parcel_Area	MISMATCH	٨٨٧٢	٨٨٧٣
2	Nature_of_Entry	MATCH	""""	""""
2	New_Serial_No	BOTH_EMPTY		
2	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
2	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
2	Tax_LP	MISMATCH	""""	ـ
2	Tax_Mils	MISMATCH	"-"""	ـ
2	Total_Tax_LP	BOTH_EMPTY		
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	MATCH	٣٦	٣٦
3	Date	MATCH	""""	""""
3	Property_recorded_under_Block_No	MATCH	٤١٤٤	٤١٤٤
3	Property_recorded_under_Parcel_No	MISMATCH	١٢	١٣
3	Parcel_Cat_No	MATCH	١٦	١٦
3	Parcel_Area	MISMATCH	٣,٧٧٤	٦,٧٧٤
3	Nature_of_Entry	MISMATCH	4	""""
3	New_Serial_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
3	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
3	Tax_LP	MISMATCH	""""	ـ
3	Tax_Mils	MISMATCH	"-"""	ـ
3	Total_Tax_LP	BOTH_EMPTY		
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
3	Net_Assessment_LP	BOTH_EMPTY		
3	Net_Assessment_Mils	BOTH_EMPTY		
3	Remarks	BOTH_EMPTY		
4	Serial_No	MATCH	٣٧	٣٧
4	Date	MATCH	""""	""""
4	Property_recorded_under_Block_No	MATCH	""""	""""
4	Property_recorded_under_Parcel_No	MATCH	٢٢	٢٢
4	Parcel_Cat_No	MATCH	١٤	١٤
4	Parcel_Area	MATCH	٩,٥٦٢	٩,٥٦٢
4	Nature_of_Entry	MATCH	""""	""""
4	New_Serial_No	MATCH	١٠٢	١٠٢
4	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
4	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
4	Tax_LP	MISMATCH	""""	ـ
4	Tax_Mils	MISMATCH	"-"""	ـ
4	Total_Tax_LP	BOTH_EMPTY		
4	Total_Tax_Mils	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
4	Net_Assessment_LP	BOTH_EMPTY		
4	Net_Assessment_Mils	BOTH_EMPTY		
4	Remarks	BOTH_EMPTY		
5	Serial_No	MATCH	٣٨	٣٨
5	Date	MATCH	""""	""""
5	Property_recorded_under_Block_No	MATCH	""""	""""
5	Property_recorded_under_Parcel_No	MATCH	٥٤	٥٤
5	Parcel_Cat_No	MATCH	١٤	١٤
5	Parcel_Area	MISMATCH	١٤,١٨٤	١٤,١٥٤
5	Nature_of_Entry	MATCH	""""	""""
5	New_Serial_No	MATCH	١٠٤	١٠٤
5	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
5	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
5	Tax_LP	MISMATCH	""""	ـ
5	Tax_Mils	MISMATCH	"-"""	ـ
5	Total_Tax_LP	BOTH_EMPTY		
5	Total_Tax_Mils	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
5	Net_Assessment_LP	BOTH_EMPTY		
