row	col	state	som	baseer
0	Serial_No	MATCH	١	١
0	Date	MISMATCH	٩٢٨	٩٦٨
0	Property_recorded_under_Block_No	MATCH	٤١٢٢	٤١٢٢
0	Property_recorded_under_Parcel_No	MATCH	٤	٤
0	Parcel_Cat_No	MATCH	١٠	١٠
0	Parcel_Area	MATCH	٢٤,٩٢٥	٢٤,٩٢٥
0	Nature_of_Entry	MISMATCH	تخ	٣
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	السبت
0	Reference_to_Register_of_Changes_Serial_No	MISMATCH	٦٢٠	٦٣٠
0	Tax_LP	MISMATCH	✓	.
0	Tax_Mils	MATCH	٦٢٩	٦٢٩
0	Total_Tax_LP	BOTH_EMPTY		
0	Total_Tax_Mils	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	BOTH_EMPTY		
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٢	٢
1	Date	MISMATCH	""""	٢
1	Property_recorded_under_Block_No	MISMATCH	٤١٢٣	٤١٦٢
1	Property_recorded_under_Parcel_No	MATCH	١	١
1	Parcel_Cat_No	MATCH	١٠	١٠
1	Parcel_Area	MISMATCH	٤,٧٢٩	٤٧٢٩
1	Nature_of_Entry	MISMATCH	""""	٤
1	New_Serial_No	MISMATCH	١١٧	الثلاثاء
1	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	الثلاثاء
1	Reference_to_Register_of_Changes_Serial_No	MISMATCH	.٩٠	-٩-
1	Tax_LP	MISMATCH	✓	.
1	Tax_Mils	MISMATCH	.٨٥	١٥
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٣	٣
2	Date	MISMATCH	""""	١١
2	Property_recorded_under_Block_No	MISMATCH	""""	٤
2	Property_recorded_under_Parcel_No	MATCH	٢٢	٢٢
2	Parcel_Cat_No	MATCH	١٠	١٠
2	Parcel_Area	MISMATCH	١٥٩,٧٧٨	١٥٩٣٧٧٨
2	Nature_of_Entry	MISMATCH	""""	٤
2	New_Serial_No	MATCH	٩٢	٩٢
2	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	الثلاثاء
2	Reference_to_Register_of_Changes_Serial_No	MISMATCH	--	.
2	Tax_LP	MATCH	٢	٢
2	Tax_Mils	MATCH	٨٧٦	٨٧٦
2	Total_Tax_LP	BOTH_EMPTY		
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	MATCH	٤	٤
3	Date	MISMATCH	""""	١
3	Property_recorded_under_Block_No	MATCH	٤١٢٤	٤١٢٤
3	Property_recorded_under_Parcel_No	MATCH	٢	٢
3	Parcel_Cat_No	MATCH	١٠	١٠
3	Parcel_Area	MISMATCH	١١,٨٦٨	١٣٨٦٨
3	Nature_of_Entry	MISMATCH	""""	١
3	New_Serial_No	MISMATCH	١٠٠	١٠
3	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	السبت
3	Reference_to_Register_of_Changes_Serial_No	MISMATCH	٢١٦	(١)
3	Tax_LP	ONLY_som	✓	
3	Tax_Mils	MATCH	٢١٤	٢١٤
3	Total_Tax_LP	BOTH_EMPTY		
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
3	Net_Assessment_LP	BOTH_EMPTY		
3	Net_Assessment_Mils	BOTH_EMPTY		
3	Remarks	BOTH_EMPTY		
4	Serial_No	MATCH	٥	٥
4	Date	MISMATCH	""""	٣
4	Property_recorded_under_Block_No	MISMATCH	""""	٤
4	Property_recorded_under_Parcel_No	MATCH	١٤	١٤
4	Parcel_Cat_No	MATCH	١٠	١٠
4	Parcel_Area	MISMATCH	٩,٧٤٦	٩٣٧٦
4	Nature_of_Entry	MISMATCH	""""	١
4	New_Serial_No	ONLY_som	102	
4	Reference_to_Register_of_Changes_Volume_No	MATCH	T.D.L	T.D.L
4	Reference_to_Register_of_Changes_Serial_No	ONLY_som	1940	
4	Tax_LP	BOTH_EMPTY		
4	Tax_Mils	MISMATCH	٢٧٥	السبت
4	Total_Tax_LP	ONLY_baseer		١
4	Total_Tax_Mils	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
4	Net_Assessment_LP	BOTH_EMPTY		
4	Net_Assessment_Mils	BOTH_EMPTY		
4	Remarks	BOTH_EMPTY		
5	Serial_No	MATCH	٦	٦
5	Date	MATCH	""""	""""
5	Property_recorded_under_Block_No	MISMATCH	""""	٩
5	Property_recorded_under_Parcel_No	MISMATCH	٢٠	٣٠
5	Parcel_Cat_No	MISMATCH	١٠	١٠٠
5	Parcel_Area	MISMATCH	١٩,٢٨٦	١٩٢٨٦
5	Nature_of_Entry	MISMATCH	""""	٦
5	New_Serial_No	BOTH_EMPTY		
5	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	السبت
5	Reference_to_Register_of_Changes_Serial_No	MISMATCH	٢٦٠	٣٦
5	Tax_LP	ONLY_baseer		.
5	Tax_Mils	MISMATCH	٣٤٧	١٤٧
5	Total_Tax_LP	BOTH_EMPTY		
5	Total_Tax_Mils	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
5	Net_Assessment_LP	BOTH_EMPTY		
5	Net_Assessment_Mils	BOTH_EMPTY		
5	Remarks	BOTH_EMPTY		
6	Serial_No	MATCH	٧	٧
6	Date	MISMATCH	""""	.
6	Property_recorded_under_Block_No	MISMATCH	""""	٤
6	Property_recorded_under_Parcel_No	MISMATCH	٢٤	١٤
6	Parcel_Cat_No	MATCH	١٠	١٠
6	Parcel_Area	MATCH	٨,٥٤٦	٨,٥٤٦
6	Nature_of_Entry	MISMATCH	""""	٧
6	New_Serial_No	MISMATCH	١٠١	١٠
