row	col	state	som	hadid02
0	Serial_No	MISMATCH	٩٤٣/٩٤٢	✓
0	Date	ONLY_hadid02		ا
0	Property_recorded_under_Block_No	ONLY_hadid02		.٠
0	Property_recorded_under_Parcel_No	ONLY_hadid02		.٠
0	Parcel_Cat_No	BOTH_EMPTY		
0	Parcel_Area	ONLY_hadid02		.
0	Nature_of_Entry	MISMATCH	بيع	٤/
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	MATCH	١	١
0	Reference_to_Register_of_Changes_Serial_No	MISMATCH	٣٣٤	٩٦٣
0	Tax_LP	BOTH_EMPTY		
0	Tax_Mils	BOTH_EMPTY		
0	Total_Tax_LP	MISMATCH	١	٨
0	Total_Tax_Mils	MISMATCH	"٢١٥ 
 ٨ 
 ٣٣٤✓"	٣٤
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	MATCH	١	١
0	Net_Assessment_Mils	MISMATCH	٢١٥	٢١٤٠
0	Remarks	BOTH_EMPTY		
1	Serial_No	BOTH_EMPTY		
1	Date	ONLY_hadid02		٣
1	Property_recorded_under_Block_No	ONLY_hadid02		.
1	Property_recorded_under_Parcel_No	ONLY_hadid02		٠٧٠
1	Parcel_Cat_No	BOTH_EMPTY		
1	Parcel_Area	ONLY_hadid02		٠٠
1	Nature_of_Entry	ONLY_hadid02		١٦
1	New_Serial_No	ONLY_hadid02		٤
1	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Serial_No	ONLY_hadid02		١
1	Tax_LP	ONLY_hadid02		١
1	Tax_Mils	ONLY_hadid02		..
1	Total_Tax_LP	ONLY_hadid02		–
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	ONLY_som	٩٤٢/٩٤٢	
1	Net_Assessment_Mils	ONLY_hadid02		١
1	Remarks	BOTH_EMPTY		
2	Serial_No	ONLY_som	٩٤٣/٩٤٤	
2	Date	ONLY_hadid02		٤
2	Property_recorded_under_Block_No	ONLY_hadid02		..
2	Property_recorded_under_Parcel_No	BOTH_EMPTY		
2	Parcel_Cat_No	BOTH_EMPTY		
2	Parcel_Area	BOTH_EMPTY		
2	Nature_of_Entry	ONLY_hadid02		""""
2	New_Serial_No	ONLY_hadid02		..
2	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
2	Reference_to_Register_of_Changes_Serial_No	ONLY_hadid02		٩٤ن٦ ٧
2	Tax_LP	ONLY_hadid02		١
2	Tax_Mils	ONLY_hadid02		ان
2	Total_Tax_LP	MATCH	٢	٢
2	Total_Tax_Mils	MISMATCH	٤٣٠	١
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	MISMATCH	٢	٤٢
2	Net_Assessment_Mils	MISMATCH	٤٣٠	٠٢٣
2	Remarks	BOTH_EMPTY		
3	Serial_No	ONLY_hadid02		٩ي٦L
3	Date	ONLY_hadid02		""""
3	Property_recorded_under_Block_No	BOTH_EMPTY		
3	Property_recorded_under_Parcel_No	BOTH_EMPTY		
3	Parcel_Cat_No	BOTH_EMPTY		
3	Parcel_Area	BOTH_EMPTY		
3	Nature_of_Entry	ONLY_hadid02		✓
3	New_Serial_No	ONLY_hadid02		""""
3	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Serial_No	ONLY_hadid02		٠
3	Tax_LP	ONLY_hadid02		_.
3	Tax_Mils	BOTH_EMPTY		
3	Total_Tax_LP	ONLY_hadid02		–
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	ONLY_hadid02		-
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	ONLY_hadid02		٠٠٣
3	Net_Assessment_LP	ONLY_hadid02		٠
3	Net_Assessment_Mils	ONLY_hadid02		-
3	Remarks	BOTH_EMPTY		
4	Serial_No	MISMATCH	"٤٤ 
 ٤٥/٩٤٤"	٣
4	Date	ONLY_hadid02		٣٧4
4	Property_recorded_under_Block_No	MISMATCH	٤١٢٨	٤١٣٨
4	Property_recorded_under_Parcel_No	MATCH	١٩	١٩
4	Parcel_Cat_No	MATCH	١٤	١٤
4	Parcel_Area	MISMATCH	١,٥٧٢✓	١٩٢
4	Nature_of_Entry	ONLY_hadid02		✓
4	New_Serial_No	BOTH_EMPTY		
4	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
4	Reference_to_Register_of_Changes_Serial_No	ONLY_hadid02		.
4	Tax_LP	BOTH_EMPTY		
4	Tax_Mils	MATCH	٠٠٨	٠٠٨
4	Total_Tax_LP	MISMATCH	١	""""
4	Total_Tax_Mils	MATCH	٢١٥	٢١٥
4	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
4	Net_Assessment_LP	BOTH_EMPTY		
