row	col	state	som	hadid02
0	Serial_No	BOTH_EMPTY		
0	Date	BOTH_EMPTY		
0	Property_recorded_under_Block_No	BOTH_EMPTY		
0	Property_recorded_under_Parcel_No	BOTH_EMPTY		
0	Parcel_Cat_No	BOTH_EMPTY		
0	Parcel_Area	BOTH_EMPTY		
0	Nature_of_Entry	BOTH_EMPTY		
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	ONLY_som	۲	
0	Reference_to_Register_of_Changes_Serial_No	MISMATCH	۷۷۹	٧٩
0	Tax_LP	MISMATCH	✓	✓٧
0	Tax_Mils	MISMATCH	۷۷۰۸	٧٠٨
0	Total_Tax_LP	MISMATCH	۷	٥
0	Total_Tax_Mils	MISMATCH	٢٥٤	""""
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	BOTH_EMPTY		
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٦٨	٦٨
1	Date	MISMATCH	٩٣٨	١٣٨
1	Property_recorded_under_Block_No	MATCH	٤١٥١	٤١٥١
1	Property_recorded_under_Parcel_No	MISMATCH	٢	٣
1	Parcel_Cat_No	MISMATCH	١٢	١٣
1	Parcel_Area	MISMATCH	٠٨٢٠	,٨٢٠
1	Nature_of_Entry	MISMATCH	خ	تع
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
1	Reference_to_Register_of_Changes_Serial_No	MISMATCH	- - ٨٧	ن
1	Tax_LP	MISMATCH	✓	١٦
1	Tax_Mils	MISMATCH	٠٠٧	٤
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	ONLY_hadid02		.
1	Reference_to_Register_of_Exemptions_Amount_Mils	MISMATCH	- -	-.
1	Net_Assessment_LP	ONLY_hadid02		✓٣
1	Net_Assessment_Mils	MISMATCH	٨٠٠٢	٠٠٢
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٦٩	٦٩
2	Date	BOTH_EMPTY		
2	Property_recorded_under_Block_No	BOTH_EMPTY		
2	Property_recorded_under_Parcel_No	BOTH_EMPTY		
2	Parcel_Cat_No	MATCH	١٦	١٦
2	Parcel_Area	MISMATCH	٣٩١٥	١,١٢
2	Nature_of_Entry	BOTH_EMPTY		
2	New_Serial_No	BOTH_EMPTY		
2	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
2	Reference_to_Register_of_Changes_Serial_No	MISMATCH	- -	..
2	Tax_LP	MISMATCH	✓	-
2	Tax_Mils	MISMATCH	- -	-
2	Total_Tax_LP	ONLY_som	✓	
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	MATCH	٧٠	٧٠
3	Date	MISMATCH	؛	""""
3	Property_recorded_under_Block_No	MISMATCH	""""	✓
3	Property_recorded_under_Parcel_No	MISMATCH	٢٦	٣٦
3	Parcel_Cat_No	MISMATCH	١٢	١٣
3	Parcel_Area	MISMATCH	٨٨٢	,٢٠
3	Nature_of_Entry	MISMATCH	""""	"✓"""
3	New_Serial_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
3	Reference_to_Register_of_Changes_Serial_No	MISMATCH	- - ٨	٠٠٨
3	Tax_LP	ONLY_som	✓	
3	Tax_Mils	MISMATCH	٠٠٧	٠.
3	Total_Tax_LP	BOTH_EMPTY		
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
3	Net_Assessment_LP	BOTH_EMPTY		
3	Net_Assessment_Mils	BOTH_EMPTY		
3	Remarks	BOTH_EMPTY		
4	Serial_No	MISMATCH	٧١	٣
4	Date	BOTH_EMPTY		
4	Property_recorded_under_Block_No	BOTH_EMPTY		
4	Property_recorded_under_Parcel_No	BOTH_EMPTY		
4	Parcel_Cat_No	MATCH	١٦	١٦
4	Parcel_Area	MISMATCH	٢٠٥٨	٢,٠٥٨
4	Nature_of_Entry	BOTH_EMPTY		
4	New_Serial_No	BOTH_EMPTY		
4	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
4	Reference_to_Register_of_Changes_Serial_No	ONLY_som	- -	
4	Tax_LP	MISMATCH	✓	.
4	Tax_Mils	MISMATCH	- -	-.
4	Total_Tax_LP	BOTH_EMPTY		
4	Total_Tax_Mils	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
4	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
4	Net_Assessment_LP	BOTH_EMPTY		
4	Net_Assessment_Mils	BOTH_EMPTY		
4	Remarks	BOTH_EMPTY		
5	Serial_No	MISMATCH	٧٢	٣٧٢
5	Date	MISMATCH	؛	""""
5	Property_recorded_under_Block_No	MATCH	""""	""""
5	Property_recorded_under_Parcel_No	MATCH	٤٢	٤٢
5	Parcel_Cat_No	MISMATCH	١٢	١٣
5	Parcel_Area	MISMATCH	٥,٢٢٧	٥,٢٧
5	Nature_of_Entry	MATCH	""""	""""
5	New_Serial_No	BOTH_EMPTY		
5	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
5	Reference_to_Register_of_Changes_Serial_No	MATCH	٠٤٨	٠٤٨
5	Tax_LP	MISMATCH	✓	-.
5	Tax_Mils	MISMATCH	٠٤٢	٠٤٣
5	Total_Tax_LP	BOTH_EMPTY		
5	Total_Tax_Mils	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
5	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
