page	grid_row	col	col_idx	state	som	hadid02	gt
3	0	Date	1	MISMATCH	٩٢٨	٩٣٨	٩٣٨
3	0	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٢	٤١٣٢	٤١٣٢
3	0	Parcel_Area	5	MISMATCH	٢٤,٩٢٥	٣٤,٩٢٥	٣٤,٩٢٥
3	0	Nature_of_Entry	6	MISMATCH	تخ	تع ✓	تح ✓
3	0	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٦٢٠	٦٣٠	٦٣٠
3	0	Tax_LP	10	MISMATCH	✓	١٣	✓
3	0	Tax_Mils	11	MISMATCH	٦٢٩	١	٦٢٩
3	1	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٣	١٣٣	٤١٣٣
3	1	Parcel_Area	5	MISMATCH	٤,٧٢٩	٤,٧٩	٤,٧٢٩
3	1	New_Serial_No	7	MISMATCH	١١٧	١	١١٧
3	1	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٩٠	٠٩٠	٠٩٠
3	1	Tax_Mils	11	MISMATCH	.٨٥	١٥	٠٨٥
3	2	Property_recorded_under_Parcel_No	3	MISMATCH	٢٢	٣٢	٣٢
3	2	Parcel_Area	5	MISMATCH	١٥٩,٧٧٨	١٥٩٧٨	١٥٩,٧٧٨
3	3	Serial_No	0	MISMATCH	٤	١	٤
3	3	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٤	٤١٣٤	٤١٣٤
3	3	Parcel_Area	5	MISMATCH	١١,٨٦٨	١٨	١١,٨٦٨
3	3	New_Serial_No	7	MISMATCH	١٠٠	١	١٠٠
3	3	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢١٦	٢١	٢١٦
3	3	Tax_LP	10	ONLY_som	✓		✓
3	4	Serial_No	0	MISMATCH	٥	١	٥
3	4	Property_recorded_under_Parcel_No	3	MISMATCH	١٤	١٤٠	١٤
3	4	Parcel_Area	5	MISMATCH	٩,٧٤٦	٩٧٤١	٩,٧٤١
3	4	New_Serial_No	7	ONLY_som	102		102
3	4	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	T.D.L	T.٠٤٧	T.D.L
3	4	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	1940		1940
3	4	Tax_Mils	11	MISMATCH	٢٧٥	٣،٣٥	١٧٥
3	4	Total_Tax_LP	12	ONLY_hadid02		✓	
3	5	Property_recorded_under_Parcel_No	3	MISMATCH	٢٠	٣٠	٣٠
3	5	Parcel_Area	5	MISMATCH	١٩,٢٨٦	١,٢٦	١٩,٢٨٦
3	5	Nature_of_Entry	6	MISMATCH	""""	"✓"""	״
3	5	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٦٠	٣٦٠	٣٦٠
3	5	Tax_LP	10	ONLY_hadid02		.	✓
3	6	Property_recorded_under_Parcel_No	3	MISMATCH	٢٤	٣٤	٣٤
3	6	Parcel_Area	5	MISMATCH	٨,٥٤٦	٤	٨,٥٤٦
3	6	New_Serial_No	7	ONLY_som	١٠١		١٠١
3	6	Tax_LP	10	ONLY_som	✓		✓
3	6	Tax_Mils	11	MISMATCH	١٥٤	١	١٥٤
3	7	Property_recorded_under_Parcel_No	3	MISMATCH	٤٦	٤٦٠	٤٦
3	7	Parcel_Area	5	MISMATCH	٤,٩٢٥	٣	٢,٩٣٥
3	7	Nature_of_Entry	6	MISMATCH	""""	"✓"""	״
3	7	Tax_Mils	11	MISMATCH	.٥٢	٠٥٣	٠٥٣
3	8	Serial_No	0	ONLY_som	٩		٩
3	8	Parcel_Area	5	MISMATCH	٢,٤١٤	٣٤	٢,٤١٤
3	8	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--	.	...
3	8	Tax_Mils	11	MISMATCH	.٤٢	١	٠٤٣
3	9	Property_recorded_under_Parcel_No	3	MISMATCH	٥١	٠٥١	٥١
3	9	Parcel_Area	5	MISMATCH	٩,٦٤٢	٩,٦٤٣	٩,٦٤٣
3	9	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--	.	...
3	9	Tax_Mils	11	MISMATCH	١٧٤	١	١٧٤
3	10	Serial_No	0	MISMATCH	١١	١	١١
3	10	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٧	٤١٣٧	٤١٣٧
3	10	Parcel_Area	5	MISMATCH	٨,٥٨١	٨,٥٨٧	٨,٥٨٧
3	10	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	١٦٢	٤	١٦٢
3	10	Tax_Mils	11	MISMATCH	١٥٥	١٥	١٥٥
3	11	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٨	٤١٣٨	٤١٣٨
3	11	Property_recorded_under_Parcel_No	3	MISMATCH	١	١٠	١
3	11	Parcel_Area	5	MISMATCH	٧,٨٠٠	٧,٨٠	٧,٨٠٠
3	11	New_Serial_No	7	MISMATCH	١٠٤	١٠٢	١٠٢
3	11	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		...
3	11	Tax_LP	10	ONLY_hadid02		..	-
3	11	Tax_Mils	11	MISMATCH	--	-	-
3	12	Parcel_Cat_No	4	MISMATCH	١٦	٦	١٦
3	12	Parcel_Area	5	MISMATCH	W.V.	١٧,٠٧٠	١٧,٠٧٠
3	12	New_Serial_No	7	ONLY_hadid02		١	١٠٢
3	12	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--	.	...
3	12	Tax_LP	10	ONLY_hadid02		-	-
3	12	Tax_Mils	11	MISMATCH	--	-	-
3	13	Parcel_Area	5	MISMATCH	٣,١٧٤	١,١٧٤	١,١٧٤
3	13	New_Serial_No	7	ONLY_som	٩٩		٩٩
3	13	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		..
3	13	Tax_LP	10	ONLY_hadid02		-	-
3	14	Serial_No	0	MISMATCH	١٥	١	١٥
3	14	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٩	٤١٣٩	٤١٣٩
3	14	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	14	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٢٤	٠٢٤	٠٢٤
3	14	Tax_Mils	11	MISMATCH	.١٧	٠١٧	٠١٧
3	15	Date	1	MISMATCH	""""	٠	""""
3	15	Parcel_Area	5	MISMATCH	٨٤٨	٩٤٨	٩٤٨
3	15	Tax_LP	10	ONLY_hadid02		–	-
3	16	Serial_No	0	MISMATCH	١٧	""""	١٧
3	16	Property_recorded_under_Parcel_No	3	MISMATCH	٣٣	٣	٣٣
3	16	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	16	Parcel_Area	5	MISMATCH	٧,٩٦١	١,١٩٦	١,١٩٦
3	16	Nature_of_Entry	6	MISMATCH	""""	"✓"""	״
3	16	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.١٦	٠١٦	٠١٦
3	16	Tax_LP	10	ONLY_hadid02		✓ -	✓
3	16	Tax_Mils	11	MISMATCH	.١٠	٠٠	٠١٠
3	17	Serial_No	0	MISMATCH	١٨	١	١٨
3	17	Tax_LP	10	ONLY_hadid02		-	-
3	17	Tax_Mils	11	MISMATCH	--	-	-
3	18	Property_recorded_under_Parcel_No	3	MISMATCH	٢٨	٣٨	٣٨
3	18	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	18	Parcel_Area	5	MISMATCH	٢,١١٩	٢,٨٨٩	٢,٨٨٩
3	18	New_Serial_No	7	ONLY_som	تالف ۹۷		انظر ٩٧
3	18	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٢٤	٠٢٤	٠٢٤
3	18	Tax_LP	10	ONLY_som	✓		✓
3	18	Tax_Mils	11	MISMATCH	.٢٣	٠٢٣	٠٢٣
3	18	Reference_to_Register_of_Exemptions_Entry_No	14	ONLY_hadid02		١٦	
3	18	Reference_to_Register_of_Exemptions_Amount_LP	15	ONLY_hadid02		..	
3	19	Serial_No	0	MISMATCH	٢٠	١٢٠	٢٠
3	19	Property_recorded_under_Block_No	2	ONLY_hadid02		..	
3	19	Parcel_Cat_No	4	MISMATCH	١٦	ن	١٦
3	19	Parcel_Area	5	MISMATCH	٤,٣٢٤	٢	٤,٣٣٤
3	19	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		..
3	19	Tax_LP	10	ONLY_hadid02		-.	-
3	19	Tax_Mils	11	MISMATCH	--	-	-
3	20	Serial_No	0	MISMATCH	٢١	""""	٢١
3	20	Date	1	MISMATCH	""""	١	""""
3	20	Property_recorded_under_Parcel_No	3	MISMATCH	٤٥	١	٤٥
3	20	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	20	Parcel_Area	5	MISMATCH	٨٦٩	٤	٩٦٩
3	20	New_Serial_No	7	MISMATCH	154	١٥٤	154
3	20	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	T.D.L	١	T.D.L
3	20	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	1940	T.٨	1940
3	20	Tax_LP	10	ONLY_hadid02		-	
3	20	Tax_Mils	11	MISMATCH	.٠٨	٠٠٨	٠٠٨
3	21	Serial_No	0	MISMATCH	٢٢	١٢	٢٢
3	21	Parcel_Area	5	MISMATCH	٢,٥٥٦	١,٤٥٣	١,٤٥٣
3	21	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		
3	21	Tax_LP	10	ONLY_hadid02		-	-
3	21	Tax_Mils	11	MISMATCH	--	-	-
3	22	Serial_No	0	MISMATCH	٢٣	""""	٢٣
3	22	Property_recorded_under_Block_No	2	MISMATCH	""""	✓	""""
3	22	Property_recorded_under_Parcel_No	3	MISMATCH	٤٦	""""	٤٦
3	22	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	22	Parcel_Area	5	MISMATCH	١,٦٥٦	١	١,٦٢٦
3	22	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.١٦	٠١٦	٠١٦
3	22	Tax_Mils	11	MISMATCH	.١٢	٠١٣	٠١٣
3	23	Serial_No	0	MISMATCH	٢٤	١	٢٤
3	23	Date	1	MISMATCH	""""	١	""""
3	23	Parcel_Area	5	MISMATCH	٥,٤٢٩	٢,٣٤٩	٢,٤٣٩
3	23	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		..
3	23	Tax_LP	10	ONLY_hadid02		-	-
3	23	Tax_Mils	11	MISMATCH	--	-	-
3	24	Serial_No	0	MISMATCH	٢٥	"✓"""	٢٥
3	24	Date	1	MISMATCH	""""	من	""""
3	24	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٠	✓	٤١٤٠
3	24	Property_recorded_under_Parcel_No	3	MISMATCH	١٨	١٣	١٨
3	24	Parcel_Cat_No	4	MISMATCH	١٢	✓٣	١٣
3	24	Parcel_Area	5	MISMATCH	٣,٧٢٩	١	٣,٧٢٩
3	24	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٢	٣٢	٣٢
3	24	Tax_Mils	11	MISMATCH	.٢٠	٠٣٠	٠٣٠
3	25	Serial_No	0	MISMATCH	٢٦	١	٢٦
3	25	Property_recorded_under_Block_No	2	MISMATCH	f	""""	""""
