idx	page	grid_row	col	col_idx	state	som	hadid02	gt
0	3	19	Parcel_Area	5	MISMATCH	٤,٣٢٤	٢	٤,٣٣٤
1	6	1	Parcel_Area	5	ONLY_som	٤,٣١٤		٤,٣٣٤
2	3	32	Parcel_Area	5	MISMATCH	٣,٠٦١	""""	٦,٥٦٨
3	10	11	Net_Assessment_Mils	18	ONLY_hadid02		-	
4	3	15	Date	1	MISMATCH	""""	٠	""""
5	10	11	Property_recorded_under_Block_No	2	ONLY_som	—		
6	6	2	Reference_to_Register_of_Changes_Volume_No	8	ONLY_som	١		١
7	6	0	Nature_of_Entry	6	ONLY_som	بيع		بيع
8	9	5	Net_Assessment_Mils	18	MISMATCH	٠٤٠	–	٠٤٠
9	10	23	Reference_to_Register_of_Changes_Volume_No	8	ONLY_hadid02		✓	
10	9	1	Nature_of_Entry	6	MISMATCH	″	١	"✓"""
11	9	0	Property_recorded_under_Block_No	2	ONLY_som	٤١٤٧		٤١٤٧
12	3	23	Date	1	MISMATCH	""""	١	""""
13	5	2	Total_Tax_LP	12	ONLY_som	✓		
14	10	18	Nature_of_Entry	6	ONLY_som	بيع		بيع
15	6	25	Total_Tax_Mils	13	MISMATCH	١٧٧	١٧	١٧٧
16	4	22	Serial_No	0	MISMATCH	٥٥	ت٥	٥٥
17	4	15	Nature_of_Entry	6	MISMATCH	""""	٤	"✓"""
18	5	26	Parcel_Cat_No	4	MISMATCH	١٢	-	١٣
19	5	4	Tax_LP	10	MISMATCH	✓	.	-
20	5	25	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	١٦	T.D.L	
21	6	29	Total_Tax_Mils	13	MISMATCH	٨٣٩	٩٣٨	٨٣١
22	4	0	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	✓	٢٢	٢٢٢
23	10	19	Tax_Mils	11	ONLY_hadid02		.	
24	6	16	Date	1	MISMATCH	"١١/٣
٢٨/٣"	٩٢	٤٧/٩٤٦
25	4	11	Tax_LP	10	ONLY_som	✓		✓
