page	n_rows	n_cols	final_rows	rows_added	rows_added_top	rows_missing_top	page_w	page_h	notes
1	4	11	4	0	0	0	1373	1702	
3	34	19	34	0	0	0	2501	3961	
4	35	19	35	0	0	0	2533	3965	
5	35	19	35	0	0	0	2538	3964	
6	35	19	34	1	0	0	2543	3969	+1 recovered rows
9	35	19	25	0	0	0	2492	3892	row count differs from final/ (25) beyond recovery
10	27	19	27	0	0	0	2511	3956	
11	28	19	16	0	0	0	2543	3940	row count differs from final/ (16) beyond recovery
12	34	19	34	0	0	0	2531	3951	
13	35	19	35	0	0	0	2526	3955	
14	27	19	27	0	0	0	2528	3949	
15	31	19	31	0	0	0	2529	3950	
16	35	19	34	1	0	0	2523	3953	+1 recovered rows
17	35	19	35	0	0	0	2467	3948	
18	32	19	32	0	0	0	2529	3947	
19	34	19	32	2	0	0	2559	3940	+2 recovered rows
20	34	19	34	0	0	0	2559	3957	
21	29	18	29	0	0	0	2576	3941	
22	29	19	29	0	0	0	2557	3908	
23	33	19	33	0	0	0	2538	3906	
24	33	19	33	0	0	0	2540	3906	
25	34	19	34	0	0	0	2555	3906	
26	30	19	30	0	0	0	2553	3905	
27	28	19	28	0	0	0	2566	3909	
28	31	19	31	0	0	0	2566	3906	
29	31	19	31	0	0	0	2529	3938	
30	35	19	35	0	0	0	2546	3908	
31	35	19	35	0	0	0	2554	3905	
32	29	19	29	0	0	0	2557	3907	
33	30	19	30	0	0	0	2558	3908	
34	28	19	27	1	0	0	2516	3881	+1 recovered rows
35	32	19	32	0	0	0	2518	3881	
36	32	19	32	0	0	0	2518	3882	
37	32	19	31	1	0	0	2522	3882	+1 recovered rows
38	24	19	23	1	0	0	2550	3880	+1 recovered rows
39	31	19	30	1	0	0	2538	3881	+1 recovered rows
40	33	19	32	0	1	1	2535	3881	+1 recovered top row(s) (row indices shift by that much)
41	31	19	31	0	0	0	2533	3881	
42	30	19	30	0	0	0	2532	3881	
43	32	19	31	0	1	1	2531	3880	+1 recovered top row(s) (row indices shift by that much)
44	34	19	32	0	2	2	2528	3882	+2 recovered top row(s) (row indices shift by that much)
45	32	19	31	0	1	1	2536	3882	+1 recovered top row(s) (row indices shift by that much)
46	34	19	34	0	0	0	2542	3881	
47	25	19	24	0	1	1	2543	3883	+1 recovered top row(s) (row indices shift by that much)
48	24	19	23	1	0	0	2545	3883	+1 recovered rows
49	30	19	28	0	2	2	2551	3881	+2 recovered top row(s) (row indices shift by that much)
50	34	19	34	0	0	0	2543	3883	
51	32	19	32	0	0	0	2541	3881	
52	29	19	29	0	0	0	2550	3883	
53	33	19	31	2	0	0	2558	3885	+2 recovered rows
54	26	19	26	0	0	0	2565	3881	
55	34	19	34	0	0	0	2593	3862	
56	30	19	30	0	0	0	2595	3860	
57	36	19	36	0	0	0	2596	3862	
58	35	19	35	0	0	0	2585	3861	
59	30	19	30	0	0	0	2590	3862	
60	34	19	34	0	0	0	2568	3881	
61	29	19	29	0	0	0	2553	3865	
62	35	19	35	0	0	0	2554	3866	
63	31	19	31	0	0	0	2551	3865	
64	28	19	28	0	0	0	2571	3870	
65	32	19	32	0	0	0	2573	3870	
66	33	19	33	0	0	0	2575	3870	
67	35	19	35	0	0	0	2563	3869	
68	33	19	33	0	0	0	2561	3868	
69	23	19	22	1	0	0	2561	3868	+1 recovered rows; first row starts 3.4 pitches below the header line — a row may straddle it, unmeasurable
70	35	19	33	1	1	1	2563	3868	+1 recovered rows; +1 recovered top row(s) (row indices shift by that much)
71	33	19	31	2	0	0	2560	3868	+2 recovered rows
72	27	19	27	0	0	0	2562	3869	
73	34	19	34	0	0	0	2565	3868	
74	33	19	33	0	0	0	2567	3869	
75	30	15	30	0	0	0	2599	3900	
76	30	19	29	1	0	0	2572	3867	+1 recovered rows
77	34	19	34	0	0	0	2592	3897	
78	30	19	30	0	0	0	2570	3868	
79	28	19	28	0	0	0	2569	3868	
80	31	19	31	0	0	0	2572	3868	
81	33	19	33	0	0	0	2579	3868	
82	30	19	28	1	1	1	2578	3869	+1 recovered rows; +1 recovered top row(s) (row indices shift by that much)
83	31	19	30	1	0	0	2578	3867	+1 recovered rows
84	32	19	32	0	0	0	2576	3867	
85	32	19	30	0	2	2	2573	3867	+2 recovered top row(s) (row indices shift by that much)
86	30	19	30	0	0	0	2573	3867	
87	35	19	35	0	0	0	2590	3866	
88	32	19	32	0	0	0	2601	3867	
89	31	19	30	0	1	1	2605	3867	+1 recovered top row(s) (row indices shift by that much)
90	35	19	35	0	0	0	2604	3867	
91	31	19	30	0	1	1	2601	3866	+1 recovered top row(s) (row indices shift by that much)
92	34	19	34	0	0	0	2598	3866	
93	34	19	34	0	0	0	2596	3865	
94	32	19	31	0	1	1	2602	3866	+1 recovered top row(s) (row indices shift by that much)
95	27	19	26	1	0	0	2618	3866	+1 recovered rows
96	28	19	27	1	0	0	2615	3867	+1 recovered rows
97	31	19	31	0	0	0	2614	3866	
98	29	19	29	0	0	0	2619	3866	
99	35	19	35	0	0	0	2617	3866	
100	34	19	34	0	0	0	2620	3866	
101	35	19	35	0	0	0	2780	3866	
