page	n_rows	rows_added_top	head_gap	width_dev	wide_ok	col_source	col_score	ink_cross	x_r	x_r_detected	fit_hits	fit_span	pitch	row_snap	text_ok	n_kraken	candidates
1	14	0	1.01	0.939	True	template-89px	0.619	0.0232	1373	1373	2	2516	99.5	0.286	1.0	4	"[[""cache"", 11, 0.635, 0.0415, 9.9, false], [""cache-scaled-7px"", 11, 0.635, 0.0453, 9.9, false], [""detected"", 9, 0.637, 0.0251, 9.9, false], [""enh-detected+5px"", 16, 0.566, 0.0298, 9.9, false], [""template-89px"", 19, 0.619, 0.0232, 0.939, true]]"
3	34	0	1.59	0.045	True	template	0.931	0.0056	2501	2501	18	2518	93.0	0.971	0.971	34	"[[""cache"", 19, 0.613, 0.0125, 0.084, true], [""cache-scaled+9px"", 19, 0.719, 0.0186, 0.091, true], [""detected"", 19, 0.894, 0.0055, 0.316, false], [""enh-detected"", 19, 0.838, 0.0056, 0.193, true], [""template"", 19, 0.931, 0.0056, 0.045, true]]"
4	34	0	1.6	0.008	True	template	0.931	0.0043	2533	2533	18	2534	93.0	1.0	1.0	35	"[[""cache-2px"", 19, 0.588, 0.017, 0.122, true], [""cache-scaled-6px"", 19, 0.575, 0.0314, 0.122, true], [""detected+5px"", 19, 0.925, 0.0043, 0.065, true], [""enh-detected+5px"", 19, 0.725, 0.0019, 0.384, false], [""template"", 19, 0.931, 0.0043, 0.008, true]]"
5	34	0	1.59	0.005	True	template	0.944	0.0046	2538	2538	18	2536	92.5	0.853	0.971	35	"[[""cache+4px"", 19, 0.569, 0.0131, 0.089, true], [""cache-scaled+2px"", 19, 0.694, 0.0163, 0.089, true], [""detected"", 18, 0.941, 0.0045, 9.9, false], [""enh-detected+3px"", 19, 0.656, 0.0131, 0.231, true], [""template"", 19, 0.944, 0.0046, 0.005, true]]"
6	35	0	1.63	0.008	True	template	0.95	0.0055	2543	2543	18	2534	93.0	0.743	0.971	34	"[[""cache"", 19, 0.556, 0.0133, 0.106, true], [""cache-scaled"", 19, 0.675, 0.0103, 0.106, true], [""detected+8px"", 19, 0.856, 0.007, 0.065, true], [""enh-detected-5px"", 19, 0.719, 0.011, 0.388, false], [""template"", 19, 0.95, 0.0055, 0.008, true]]"
9	34	0	1.7	0.005	True	template	0.956	0.0028	2480	2492	18	2480	92.0	0.441	0.971	35	"[[""cache+100px"", 19, 0.931, 0.0028, 0.079, true], [""cache-scaled+10px"", 19, 0.581, 0.0078, 0.073, true], [""detected"", 19, 0.938, 0.0028, 0.029, true], [""enh-detected-10px"", 19, 0.944, 0.0025, 0.395, false], [""template"", 19, 0.956, 0.0028, 0.005, true]]"
10	34	0	1.33	0.004	True	template	0.938	0.0193	2511	2511	18	2514	94.0	0.529	1.0	27	"[[""detected"", 19, 0.938, 0.0193, 0.033, true], [""enh-detected-10px"", 19, 0.831, 0.0196, 0.271, false], [""template"", 19, 0.938, 0.0193, 0.004, true]]"
11	34	0	1.52	0.007	True	template	0.963	0.02	2531	2543	18	2530	93.0	0.441	0.571	28	"[[""cache-8px"", 19, 0.581, 0.0124, 0.062, true], [""cache-scaled+10px"", 19, 0.794, 0.0142, 0.061, true], [""detected"", 19, 0.938, 0.02, 0.023, true], [""enh-detected"", 19, 0.925, 0.0205, 0.38, false], [""template"", 19, 0.963, 0.02, 0.007, true]]"
12	35	0	1.7	0.006	True	template	0.963	0.0424	2531	2531	18	2528	93.0	0.914	0.971	34	"[[""cache-10px"", 19, 0.431, 0.036, 0.059, true], [""cache-scaled+4px"", 19, 0.875, 0.0314, 0.057, true], [""detected"", 19, 0.956, 0.0424, 0.022, true], [""enh-detected"", 19, 0.931, 0.0424, 0.206, true], [""template"", 19, 0.963, 0.0424, 0.006, true]]"
13	34	0	1.49	0.006	True	template	0.956	0.0416	2526	2526	18	2526	93.0	0.471	0.743	35	"[[""cache"", 19, 0.95, 0.0416, 0.024, true], [""detected"", 19, 0.95, 0.0416, 0.024, true], [""enh-detected-10px"", 19, 0.931, 0.0411, 0.253, false], [""template"", 19, 0.956, 0.0416, 0.006, true]]"
14	35	0	1.52	0.007	True	template	0.975	0.0283	2528	2528	18	2518	94.0	0.486	1.0	27	"[[""cache"", 19, 0.944, 0.0283, 0.023, true], [""detected"", 19, 0.944, 0.0283, 0.023, true], [""enh-detected"", 19, 0.95, 0.0291, 0.202, true], [""template"", 19, 0.975, 0.0283, 0.007, true]]"
15	34	0	1.37	0.007	True	template	0.956	0.0402	2529	2529	18	2536	94.0	0.206	0.387	31	"[[""cache"", 19, 0.95, 0.0402, 0.023, true], [""detected"", 19, 0.95, 0.0402, 0.023, true], [""enh-detected-10px"", 19, 0.875, 0.0397, 0.203, true], [""template"", 19, 0.956, 0.0402, 0.007, true]]"
16	35	0	1.66	0.005	True	template	0.944	0.0267	2523	2523	18	2540	93.0	0.657	0.941	34	"[[""cache"", 19, 0.938, 0.0267, 0.024, true], [""detected"", 19, 0.938, 0.0267, 0.024, true], [""enh-detected-10px"", 19, 0.944, 0.0271, 0.208, true], [""template"", 19, 0.944, 0.0267, 0.005, true]]"
17	34	0	1.67	0.043	True	template	0.9	0.0307	2619	2467	18	2528	94.0	0.118	0.2	35	"[[""cache"", 19, 0.963, 0.0306, 0.422, false], [""cache-scaled-10px"", 19, 0.525, 0.02, 0.421, false], [""detected"", 19, 0.919, 0.0308, 0.422, false], [""enh-detected-8px"", 19, 0.9, 0.0308, 0.264, true], [""template"", 19, 0.9, 0.0307, 0.043, true]]"
18	34	0	1.07	0.011	True	template	0.925	0.1212	2529	2529	18	2528	94.0	0.294	0.469	32	"[[""cache"", 19, 0.919, 0.1212, 0.037, true], [""detected"", 19, 0.919, 0.1212, 0.037, true], [""enh-detected+2px"", 18, 0.697, 0.1028, 9.9, false], [""template"", 19, 0.925, 0.1212, 0.011, true]]"
19	35	0	1.43	0.056	True	template	0.919	0.008	2559	2559	18	2536	91.0	0.514	0.812	32	"[[""cache"", 19, 0.931, 0.0044, 0.467, false], [""detected"", 19, 0.931, 0.0044, 0.467, false], [""enh-detected+4px"", 18, 0.697, 0.0043, 9.9, false], [""template"", 19, 0.919, 0.008, 0.056, true]]"
20	35	0	1.43	0.036	True	template	0.944	0.0095	2559	2559	18	2516	93.0	0.914	0.941	34	"[[""cache+4px"", 19, 0.894, 0.013, 0.065, true], [""detected+4px"", 19, 0.894, 0.013, 0.065, true], [""enh-detected-10px"", 18, 0.737, 0.0094, 9.9, false], [""template"", 19, 0.944, 0.0095, 0.036, true]]"
21	35	0	1.38	0.028	True	template	0.925	0.0025	2576	2576	18	2526	93.5	0.371	0.828	29	"[[""cache"", 18, 0.934, 0.0014, 9.9, false], [""detected"", 18, 0.934, 0.0014, 9.9, false], [""enh-detected"", 19, 0.794, 0.0028, 0.247, true], [""template"", 19, 0.925, 0.0025, 0.028, true]]"
22	34	0	1.32	0.019	True	cache-scaled	0.95	0.012	2543	2557	18	2490	93.0	0.441	0.586	29	"[[""cache"", 19, 0.906, 0.012, 0.017, true], [""cache-scaled"", 19, 0.95, 0.012, 0.019, true], [""detected"", 19, 0.95, 0.012, 0.024, true], [""enh-detected"", 19, 0.85, 0.0087, 0.224, true], [""template"", 19, 0.944, 0.012, 0.02, true]]"
23	36	0	1.35	0.016	True	template	0.95	0.0077	2538	2538	18	2494	92.0	0.722	0.848	33	"[[""cache"", 19, 0.931, 0.0077, 0.035, true], [""detected"", 19, 0.931, 0.0077, 0.035, true], [""enh-detected-10px"", 18, 0.816, 0.0107, 9.9, false], [""template"", 19, 0.95, 0.0077, 0.016, true]]"
24	35	0	1.41	0.007	True	template	0.944	0.0097	2528	2540	18	2500	92.0	0.314	0.879	33	"[[""cache"", 19, 0.912, 0.0097, 0.026, true], [""cache-scaled"", 19, 0.944, 0.0097, 0.026, true], [""detected"", 19, 0.944, 0.0097, 0.03, true], [""enh-detected-10px"", 19, 0.844, 0.0049, 0.164, true], [""template"", 19, 0.944, 0.0097, 0.007, true]]"
25	34	0	1.68	0.012	True	template	0.938	0.0024	2531	2555	18	2494	93.0	0.353	0.912	34	"[[""cache+7px"", 19, 0.931, 0.0024, 0.035, true], [""cache-scaled+7px"", 19, 0.931, 0.0024, 0.031, true], [""detected+7px"", 19, 0.931, 0.0024, 0.037, true], [""enh-detected"", 19, 0.769, 0.0036, 0.257, true], [""template"", 19, 0.938, 0.0024, 0.012, true]]"
26	35	0	1.82	0.016	True	template	0.925	0.0386	2533	2553	18	2492	92.0	0.371	0.667	30	"[[""cache"", 19, 0.906, 0.0386, 0.033, true], [""cache-scaled"", 19, 0.925, 0.0386, 0.032, true], [""detected"", 19, 0.919, 0.0386, 0.042, true], [""enh-detected"", 19, 0.85, 0.0384, 0.202, true], [""template"", 19, 0.925, 0.0386, 0.016, true]]"
27	35	0	1.46	0.009	True	template	0.931	0.0692	2536	2566	18	2508	93.0	0.314	0.786	28	"[[""cache-10px"", 19, 0.925, 0.0692, 0.011, true], [""cache-scaled"", 19, 0.925, 0.0692, 0.022, true], [""detected"", 19, 0.925, 0.0692, 0.023, true], [""enh-detected"", 19, 0.856, 0.0638, 0.191, true], [""template"", 19, 0.931, 0.0692, 0.009, true]]"
28	34	0	1.11	0.012	True	template	0.956	0.0527	2546	2566	18	2508	93.0	0.441	0.613	31	"[[""cache"", 19, 0.9, 0.0527, 0.024, true], [""cache-scaled"", 19, 0.95, 0.0527, 0.025, true], [""detected"", 19, 0.95, 0.0527, 0.026, true], [""enh-detected-10px"", 19, 0.906, 0.0483, 0.056, true], [""template"", 19, 0.956, 0.0527, 0.012, true]]"
29	34	0	1.44	0.008	True	template+4px	0.944	0.0843	2517	2529	18	2504	93.0	0.382	0.871	31	"[[""cache"", 19, 0.9, 0.0843, 0.019, true], [""cache-scaled"", 19, 0.931, 0.0843, 0.02, true], [""detected"", 19, 0.931, 0.0843, 0.024, true], [""enh-detected"", 19, 0.906, 0.0753, 0.247, false], [""template+4px"", 19, 0.944, 0.0843, 0.008, true]]"
30	34	0	1.53	0.011	True	template	0.95	0.0438	2546	2546	18	2506	92.0	0.618	0.886	35	"[[""cache"", 19, 0.95, 0.0438, 0.027, true], [""detected"", 19, 0.95, 0.0438, 0.027, true], [""enh-detected-10px"", 19, 0.894, 0.0419, 0.191, true], [""template"", 19, 0.95, 0.0438, 0.011, true]]"
31	35	0	1.53	0.02	True	template	0.931	0.0534	2554	2554	18	2520	92.0	0.571	0.8	35	"[[""cache"", 19, 0.931, 0.0534, 0.043, true], [""detected"", 19, 0.931, 0.0534, 0.043, true], [""enh-detected"", 19, 0.919, 0.056, 0.206, true], [""template"", 19, 0.931, 0.0534, 0.02, true]]"
32	35	0	1.32	0.019	True	template	0.944	0.008	2557	2557	18	2506	93.0	0.486	0.759	29	"[[""cache"", 19, 0.95, 0.008, 0.034, true], [""detected"", 19, 0.95, 0.008, 0.034, true], [""enh-detected"", 19, 0.944, 0.008, 0.038, true], [""template"", 19, 0.944, 0.008, 0.019, true]]"
33	35	0	1.15	0.02	True	template	0.944	0.01	2558	2558	18	2506	92.0	0.371	0.8	30	"[[""cache+8px"", 19, 0.938, 0.01, 0.036, true], [""detected+8px"", 19, 0.938, 0.01, 0.036, true], [""enh-detected+8px"", 19, 0.825, 0.0079, 0.279, true], [""template"", 19, 0.944, 0.01, 0.02, true]]"
