page	n_rows	rows_added_top	head_gap	width_dev	wide_ok	col_source	col_score	ink_cross	candidates
1	4	0	0.272	True	-0.33	template+51px	0.713	0.0439	"[[""cache-10px"", 11, 0.74, 0.0407, 9.9, false], [""cache-scaled-7px"", 11, 0.677, 0.05, 9.9, false], [""detected-1px"", 9, 0.713, 0.0262, 9.9, false], [""enh-detected+5px"", 16, 0.618, 0.0315, 9.9, false], [""template+51px"", 19, 0.713, 0.0439, 0.272, true]]"
3	34	0	0.084	True	0.56	cache	0.675	0.0123	"[[""cache"", 19, 0.675, 0.0123, 0.084, true], [""cache-scaled+9px"", 19, 0.744, 0.0187, 0.091, true], [""detected-10px"", 19, 0.919, 0.0053, 0.321, false], [""enh-detected-10px"", 19, 0.863, 0.0054, 0.197, true], [""template-4px"", 19, 0.725, 0.0155, 0.147, true]]"
4	35	0	0.065	True	-0.07	detected+5px	0.969	0.0047	"[[""cache-2px"", 19, 0.619, 0.0175, 0.122, true], [""cache-scaled-6px"", 19, 0.606, 0.0316, 0.122, true], [""detected+5px"", 19, 0.969, 0.0047, 0.065, true], [""enh-detected+5px"", 19, 0.738, 0.0021, 0.384, false], [""template+2px"", 19, 0.787, 0.0147, 0.284, true]]"
5	35	0	0.089	True	-0.16	cache+4px	0.6	0.0127	"[[""cache+4px"", 19, 0.6, 0.0127, 0.089, true], [""cache-scaled+2px"", 19, 0.731, 0.016, 0.089, true], [""detected-10px"", 18, 0.974, 0.004, 9.9, false], [""enh-detected+3px"", 19, 0.681, 0.0127, 0.231, true], [""template-4px"", 19, 0.706, 0.0117, 0.285, true]]"
6	35	0	0.065	True	0.62	detected+8px	0.919	0.0072	"[[""cache-8px"", 19, 0.613, 0.0136, 0.106, true], [""cache-scaled"", 19, 0.738, 0.0106, 0.106, true], [""detected+8px"", 19, 0.919, 0.0072, 0.065, true], [""enh-detected-5px"", 19, 0.744, 0.0112, 0.388, false], [""template+3px"", 19, 0.694, 0.0195, 0.289, true]]"
9	35	0	0.032	True	0.71	detected-10px	1.0	0.0031	"[[""cache+100px"", 19, 0.969, 0.0031, 0.071, true], [""cache-scaled+9px"", 19, 0.719, 0.0081, 0.073, true], [""detected-10px"", 19, 1.0, 0.0031, 0.032, true], [""enh-detected-10px"", 19, 0.981, 0.0022, 0.185, false], [""template-8px"", 19, 0.769, 0.0067, 0.284, true]]"
10	27	0	0.033	True	0.41	detected-10px	0.963	0.0167	"[[""detected-10px"", 19, 0.963, 0.0167, 0.033, true], [""enh-detected-10px"", 19, 0.844, 0.017, 0.271, false], [""template-5px"", 19, 0.588, 0.0133, 0.285, true]]"
11	28	0	0.021	True	0.46	detected-4px	0.975	0.0196	"[[""cache-9px"", 19, 0.619, 0.0124, 0.062, true], [""cache-scaled+6px"", 19, 0.844, 0.0147, 0.061, true], [""detected-4px"", 19, 0.975, 0.0196, 0.021, true], [""enh-detected-4px"", 19, 0.925, 0.0178, 0.395, false], [""template-10px"", 19, 0.531, 0.0109, 0.198, true]]"
12	34	0	0.022	True	0.74	detected-10px	0.95	0.0434	"[[""cache-10px"", 19, 0.444, 0.0369, 0.059, true], [""cache-scaled+4px"", 19, 0.875, 0.0321, 0.057, true], [""detected-10px"", 19, 0.95, 0.0434, 0.022, true], [""enh-detected-10px"", 19, 0.919, 0.0434, 0.21, true], [""template"", 19, 0.706, 0.024, 0.286, true]]"
13	35	0	0.024	True	0.54	cache-10px	0.969	0.0396	"[[""cache-10px"", 19, 0.969, 0.0396, 0.024, true], [""detected-10px"", 19, 0.969, 0.0396, 0.024, true], [""enh-detected-10px"", 19, 0.944, 0.039, 0.253, false], [""template-9px"", 19, 0.662, 0.0175, 0.198, true]]"
