page	row	col	ink_px	chroma_px	has_text
3	0	0	290	2324	1
3	0	1	891	1067	1
3	0	2	1026	1229	1
3	0	3	341	414	1
3	0	4	228	307	1
3	0	5	949	1111	1
3	0	6	546	852	1
3	0	7	0	0	0
3	0	8	102	163	1
3	0	9	360	467	1
3	0	10	22	115	1
3	0	11	721	862	1
3	0	12	0	0	0
3	0	13	0	0	0
3	0	14	0	0	0
3	0	15	0	0	0
3	0	16	0	0	0
3	0	17	0	0	0
3	0	18	0	0	0
3	1	0	214	2034	1
3	1	1	111	144	1
3	1	2	994	1207	1
3	1	3	200	233	1
3	1	4	225	288	1
3	1	5	873	1061	1
3	1	6	220	398	1
3	1	7	223	491	1
3	1	8	73	158	1
3	1	9	159	291	1
3	1	10	34	112	1
3	1	11	455	564	1
3	1	12	0	0	0
3	1	13	0	0	0
3	1	14	0	0	0
3	1	15	0	0	0
3	1	16	0	0	0
3	1	17	0	0	0
3	1	18	0	0	0
3	2	0	262	1819	1
3	2	1	70	130	1
3	2	2	128	175	1
3	2	3	570	692	1
3	2	4	238	300	1
3	2	5	829	1034	1
3	2	6	128	365	1
3	2	7	402	875	1
3	2	8	120	240	1
3	2	9	55	435	1
3	2	10	234	283	1
3	2	11	690	803	1
3	2	12	0	0	0
3	2	13	0	0	0
3	2	14	0	0	0
3	2	15	0	9	0
3	2	16	0	0	0
3	2	17	0	0	0
3	2	18	0	0	0
3	3	0	266	2029	1
3	3	1	123	176	1
3	3	2	1153	1389	1
3	3	3	340	392	1
3	3	4	274	344	1
3	3	5	792	969	1
3	3	6	166	355	1
3	3	7	93	481	1
3	3	8	114	220	1
3	3	9	281	395	1
3	3	10	9	64	1
3	3	11	720	852	1
3	3	12	0	0	0
3	3	13	0	0	0
3	3	14	0	0	0
3	3	15	0	0	0
3	3	16	0	0	0
3	3	17	0	0	0
3	3	18	0	0	0
3	4	0	277	1816	1
3	4	1	79	128	1
3	4	2	150	70	1
3	4	3	318	298	1
3	4	4	192	235	1
3	4	5	566	661	1
3	4	6	74	229	1
3	4	7	0	470	1
3	4	8	12	780	1
3	4	9	0	553	1
3	4	10	0	0	0
3	4	11	268	341	1
3	4	12	17	149	0
3	4	13	0	0	0
3	4	14	0	0	0
3	4	15	0	0	0
3	4	16	0	0	0
3	4	17	0	9	0
3	4	18	0	0	0
3	5	0	198	1865	1
3	5	1	92	133	1
3	5	2	115	153	1
3	5	3	365	450	1
3	5	4	272	349	1
3	5	5	867	1058	1
3	5	6	79	287	1
3	5	7	0	0	0
3	5	8	166	273	1
3	5	9	331	421	1
3	5	10	40	129	1
3	5	11	735	847	1
3	5	12	0	0	0
3	5	13	0	0	0
3	5	14	0	0	0
3	5	15	0	0	0
3	5	16	0	18	0
3	5	17	0	0	0
3	5	18	0	0	0
3	6	0	270	2035	1
3	6	1	69	124	1
3	6	2	115	157	1
3	6	3	553	662	1
3	6	4	257	380	1
3	6	5	778	972	1
3	6	6	143	492	1
3	6	7	137	802	1
3	6	8	123	223	1
3	6	9	325	438	1
3	6	10	9	109	1
3	6	11	749	870	1
3	6	12	0	0	0
3	6	13	0	0	0
3	6	14	0	0	0
3	6	15	0	0	0
3	6	16	0	0	0
3	6	17	0	0	0
3	6	18	2	8	0
3	7	0	227	1935	1
3	7	1	79	128	1
3	7	2	149	192	1
3	7	3	484	595	1
3	7	4	221	312	1
3	7	5	791	993	1
3	7	6	198	545	1
3	7	7	623	926	1
3	7	8	0	16	0
3	7	9	18	94	1
3	7	10	0	0	0
3	7	11	569	679	1
3	7	12	0	0	0
3	7	13	0	0	0
3	7	14	0	0	0
3	7	15	0	0	0
3	7	16	0	0	0
3	7	17	0	0	0
3	7	18	8	18	0
3	8	0	331	1674	1
3	8	1	79	126	1
3	8	2	116	154	1
3	8	3	578	691	1
3	8	4	264	326	1
3	8	5	887	1137	1
3	8	6	112	389	1
3	8	7	614	953	1
3	8	8	0	0	0
3	8	9	27	69	1
3	8	10	0	0	0
3	8	11	592	703	1
3	8	12	0	0	0
3	8	13	0	0	0
3	8	14	0	0	0
3	8	15	0	0	0
3	8	16	0	28	0
3	8	17	0	0	0
3	8	18	0	0	0
3	9	0	219	1781	1
3	9	1	71	112	1
3	9	2	175	223	1
3	9	3	517	619	1
3	9	4	222	281	1
3	9	5	1138	1367	1
3	9	6	254	658	1
3	9	7	572	1046	1
3	9	8	0	33	0
3	9	9	31	78	1
3	9	10	0	0	0
3	9	11	727	849	1
3	9	12	0	0	0
3	9	13	0	0	0
3	9	14	0	0	0
3	9	15	0	0	0
3	9	16	0	0	0
3	9	17	0	0	0
3	9	18	0	14	0
3	10	0	321	1963	1
3	10	1	83	139	1
3	10	2	920	1105	1
3	10	3	554	670	1
3	10	4	269	333	1
3	10	5	956	1162	1
3	10	6	272	426	1
3	10	7	28	809	1
3	10	8	250	367	1
3	10	9	346	432	1
3	10	10	18	89	1
3	10	11	756	893	1
3	10	12	0	0	0
3	10	13	0	0	0
3	10	14	0	0	0
3	10	15	0	0	0
3	10	16	0	0	0
3	10	17	0	0	0
3	10	18	0	0	0
3	11	0	403	2175	1
3	11	1	90	141	1
3	11	2	936	1169	1
3	11	3	201	230	1
3	11	4	489	625	1
3	11	5	601	758	1
